post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,reach,likes,shares,follows,comments,saves,unnamed_18,unnamed_19,unnamed_20
18310793887171856,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",8,09/06/2025 9:06,https://www.instagram.com/reel/DORFHUYDXe7/,IG reel,,Lifetime,5125,3989,47,0,4,1,1,,,
18424962079096890,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",11,09/06/2025 8:15,https://www.instagram.com/reel/DOQ_R3pDWbo/,IG reel,,Lifetime,16571,10854,281,22,6,16,20,,,
18400079098137764,17841472782106936,v2byvelare,,"lmk what u think :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/06/2025 7:17,https://www.instagram.com/reel/DOQ4mahDdLL/,IG reel,,Lifetime,282424,191856,7017,318,647,66,659,,,
17933529108085944,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/05/2025 16:48,https://www.instagram.com/reel/DOPVNjsDI7b/,IG reel,,Lifetime,21622,12182,479,19,4,21,32,,,
17919594453158226,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",8,09/05/2025 4:42,https://www.instagram.com/reel/DOOCBATDdZv/,IG reel,,Lifetime,10961,5707,175,4,3,18,12,,,
18067809487981438,17841472782106936,v2byvelare,,"production almost done 

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork",15,09/04/2025 19:17,https://www.instagram.com/reel/DONBcbLjPiL/,IG reel,,Lifetime,35361,23318,772,32,37,17,51,,,
18068740304335322,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",13,09/04/2025 16:39,https://www.instagram.com/reel/DOMvY4sDMZ7/,IG reel,,Lifetime,19688,10638,383,11,11,9,23,,,
18079161068298762,17841472782106936,v2byvelare,,"pause? hoodie from us tho :)

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,09/04/2025 16:09,https://www.instagram.com/reel/DOMXKDyEjH7/,IG reel,,Lifetime,20081,11159,638,43,11,8,42,,,
18069780917156447,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",9,09/04/2025 12:59,https://www.instagram.com/reel/DOMWK5ZksFP/,IG reel,,Lifetime,7280,5789,183,8,13,3,11,,,
18076617446002828,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie",10,09/04/2025 11:49,https://www.instagram.com/reel/DOMODPhEmHi/,IG reel,,Lifetime,29273,16994,481,12,19,12,32,,,
